distance_m,lat,lon,altitude_m,grade_pct
1670,36.710778,-4.426365,39.3,2.26
1675,36.710814,-4.426332,39.4,2.26
1680,36.710848,-4.426295,39.5,2.23
1685,36.710880,-4.426257,39.7,2.15
1690,36.710911,-4.426216,39.8,1.97
1695,36.710941,-4.426174,39.8,1.73
1700,36.710973,-4.426122,39.9,1.55
1705,36.711009,-4.426086,40.0,1.35
1710,36.711046,-4.426054,40.1,1.17
1715,36.711082,-4.426021,40.1,0.90
1720,36.711118,-4.425988,40.2,0.65
1725,36.711155,-4.425952,40.2,0.46
1730,36.711190,-4.425918,40.2,0.28
1735,36.711225,-4.425885,40.2,0.12
1740,36.711261,-4.425850,40.2,0.00
1745,36.711294,-4.425813,40.2,-0.01
1750,36.711326,-4.425774,40.2,-0.06
1755,36.711359,-4.425737,40.2,-0.12
1760,36.711395,-4.425700,40.2,-0.18
1765,36.711429,-4.425663,40.2,-0.26
1770,36.711464,-4.425627,40.2,-0.38
1775,36.711498,-4.425591,40.1,-0.49
1780,36.711531,-4.425555,40.1,-0.59
1785,36.711567,-4.425518,40.1,-0.71
1790,36.711601,-4.425483,40.0,-0.83
1795,36.711637,-4.425449,40.0,-0.97
1800,36.711672,-4.425414,40.0,-1.08
1805,36.711707,-4.425379,39.9,-1.15
1810,36.711741,-4.425345,39.8,-1.22
1815,36.711777,-4.425309,39.8,-1.28
1820,36.711812,-4.425273,39.7,-1.32
1825,36.711847,-4.425238,39.6,-1.33
1830,36.711882,-4.425203,39.6,-1.34
1835,36.711917,-4.425168,39.5,-1.43
1840,36.711952,-4.425134,39.4,-1.45
1845,36.711987,-4.425099,39.4,-1.46
1850,36.712023,-4.425064,39.3,-1.48
1855,36.712058,-4.425029,39.2,-1.50
1860,36.712093,-4.424995,39.1,-1.49
1865,36.712129,-4.424960,39.1,-1.47
1870,36.712164,-4.424924,39.0,-1.47
1875,36.712198,-4.424888,38.9,-1.47
1880,36.712233,-4.424852,38.8,-1.46
1885,36.712268,-4.424817,38.8,-1.44
1890,36.712303,-4.424782,38.7,-1.39
1895,36.712337,-4.424746,38.6,-1.33
1900,36.712372,-4.424711,38.5,-1.26
1905,36.712407,-4.424676,38.5,-1.16
1910,36.712442,-4.424641,38.4,-1.04
1915,36.712477,-4.424606,38.4,-0.93
1920,36.712511,-4.424570,38.3,-0.83
1925,36.712546,-4.424533,38.3,-0.71
1930,36.712582,-4.424497,38.3,-0.59
1935,36.712617,-4.424463,38.2,-0.47
1940,36.712652,-4.424430,38.2,-0.35
1945,36.712689,-4.424396,38.2,-0.26
1950,36.712725,-4.424362,38.2,-0.23
1955,36.712760,-4.424327,38.2,-0.23
1960,36.712794,-4.424292,38.2,-0.23
1965,36.712830,-4.424256,38.2,-0.27
1970,36.712864,-4.424222,38.2,-0.33
1975,36.712900,-4.424186,38.1,-0.36
1980,36.712935,-4.424152,38.1,-0.36
1985,36.713641,-4.423521,38.1,-0.36
1990,36.714739,-4.422537,38.1,-0.36
1995,36.714776,-4.422504,38.1,-0.36
2000,36.714813,-4.422470,38.0,-0.34
2005,36.714848,-4.422437,38.0,-0.28
2010,36.714882,-4.422400,38.0,-0.22
2015,36.714918,-4.422368,38.0,-0.16
2020,36.714957,-4.422340,38.0,-0.10
2025,36.714994,-4.422308,38.0,-0.06
2030,36.715031,-4.422274,38.0,-0.09
2035,36.715066,-4.422240,38.0,-0.15
2040,36.715101,-4.422206,38.0,-0.19
2045,36.715137,-4.422172,38.0,-0.19
2050,36.715172,-4.422137,38.0,-0.19
2055,36.715208,-4.422103,37.9,-0.16
2060,36.715243,-4.422067,37.9,-0.10
2065,36.715278,-4.422032,37.9,-0.04
2070,36.715314,-4.421998,37.9,-0.02
2075,36.715351,-4.421967,37.9,-0.07
2080,36.715388,-4.421935,37.9,-0.10
2085,36.715426,-4.421903,37.9,-0.10
2090,36.715462,-4.421868,37.9,-0.10
2095,36.715497,-4.421833,37.9,-0.12
2100,36.715532,-4.421797,37.9,-0.17
2105,36.715564,-4.421758,37.9,-0.14
2110,36.715596,-4.421719,37.9,-0.10
2115,36.715628,-4.421681,37.9,-0.10
2120,36.715660,-4.421642,37.9,-0.10
2125,36.715692,-4.421602,37.9,-0.13
2130,36.715724,-4.421562,37.9,-0.08
2135,36.715755,-4.421522,37.9,-0.05
2140,36.715786,-4.421482,37.9,-0.05
2145,36.715820,-4.421444,37.9,-0.05
2150,36.715877,-4.421382,37.9,-0.05
2155,36.715911,-4.421341,37.9,-0.01
2160,36.715944,-4.421305,37.9,-0.09
2165,36.715980,-4.421271,37.9,-0.21
2170,36.716017,-4.421236,37.9,-0.33
2175,36.716051,-4.421200,37.8,-0.46
2180,36.716085,-4.421166,37.8,-0.52
2185,36.716120,-4.421131,37.8,-0.57
2190,36.716155,-4.421096,37.7,-0.55
2195,36.716192,-4.421060,37.7,-0.48
2200,36.716228,-4.421026,37.7,-0.42
2205,36.716263,-4.420990,37.7,-0.36
2210,36.716296,-4.420953,37.7,-0.33
2215,36.716331,-4.420918,37.6,-0.22
2220,36.716370,-4.420888,37.6,-0.09
2225,36.716402,-4.420850,37.6,0.03
2230,36.716438,-4.420815,37.6,0.15
2235,36.716473,-4.420780,37.6,0.27
2240,36.716508,-4.420746,37.7,0.35
2245,36.716542,-4.420712,37.7,0.36
2250,36.716581,-4.420681,37.7,0.36
2255,36.716619,-4.420649,37.7,0.36
2260,36.716654,-4.420617,37.7,0.36
2265,36.716690,-4.420583,37.8,0.33
2270,36.716727,-4.420548,37.8,0.27
2275,36.716763,-4.420514,37.8,0.21
2280,36.716797,-4.420477,37.8,0.15
2285,36.716832,-4.420444,37.8,0.09
2290,36.716868,-4.420411,37.8,0.03
2295,36.716903,-4.420378,37.8,0.00
2300,36.716939,-4.420342,37.8,0.00
2305,36.716973,-4.420305,37.8,0.00
2310,36.717007,-4.420268,37.8,0.00
2315,36.717041,-4.420232,37.8,0.00
2320,36.717078,-4.420198,37.8,0.00
2325,36.717115,-4.420165,37.8,0.00
2330,36.717151,-4.420132,37.8,0.00
2335,36.717187,-4.420098,37.8,0.00
2340,36.717222,-4.420065,37.8,0.00
2345,36.717257,-4.420031,37.8,0.00
2350,36.717293,-4.419996,37.8,0.00
2355,36.717328,-4.419959,37.8,0.00
2360,36.717362,-4.419922,37.8,0.00
2365,36.717395,-4.419886,37.8,0.00
2370,36.717429,-4.419849,37.8,0.00
2375,36.717462,-4.419813,37.8,0.00
2380,36.717497,-4.419775,37.8,0.00
2385,36.717530,-4.419736,37.8,0.00
2390,36.717561,-4.419696,37.8,0.00
2395,36.717587,-4.419651,37.8,-0.01
2400,36.717612,-4.419605,37.8,-0.07
2405,36.717634,-4.419557,37.8,-0.13
2410,36.717653,-4.419506,37.8,-0.19
2415,36.717669,-4.419454,37.8,-0.25
2420,36.717685,-4.419401,37.8,-0.31
2425,36.717700,-4.419348,37.7,-0.38
2430,36.717714,-4.419294,37.7,-0.44
2435,36.717727,-4.419241,37.7,-0.50
2440,36.717740,-4.419188,37.7,-0.56
2445,36.717755,-4.419135,37.6,-0.62
2450,36.717770,-4.419082,37.6,-0.67
2455,36.717783,-4.419029,37.6,-0.65
2460,36.717801,-4.418977,37.5,-0.60
2465,36.717817,-4.418924,37.5,-0.54
2470,36.717830,-4.418872,37.5,-0.48
2475,36.717845,-4.418818,37.5,-0.41
2480,36.717861,-4.418765,37.4,-0.38
2485,36.717876,-4.418713,37.4,-0.38
2490,36.717888,-4.418660,37.4,-0.38
2495,36.717902,-4.418606,37.4,-0.38
2500,36.717917,-4.418553,37.4,-0.38
2505,36.717932,-4.418500,37.4,-0.38
2510,36.717946,-4.418447,37.3,-0.37
2515,36.717958,-4.418394,37.3,-0.36
2520,36.717973,-4.418341,37.3,-0.36
2525,36.717988,-4.418287,37.3,-0.36
2530,36.718003,-4.418235,37.3,-0.36
2535,36.718021,-4.418184,37.2,-0.33
2540,36.718040,-4.418132,37.2,-0.27
2545,36.718056,-4.418080,37.2,-0.21
2550,36.718071,-4.418028,37.2,-0.15
2555,36.718086,-4.417975,37.2,-0.09
2560,36.718100,-4.417922,37.2,-0.03
